Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
Jo Jo White,7,0,124,29,60,0.483,,,,29,60,0.483,6,11,0.545,2,7,27,21,4,1,,6,64,,17.7,9.1,3.9,3
Kevin McHale,7,0,125,24,48,0.5,1,2,0.5,23,46,0.5,12,14,0.857,13,24,37,8,1,12,5,21,61,,17.9,8.7,5.3,1.1
Paul George,7,3,180,54,105,0.514,28,66,0.424,26,39,0.667,5,5,1,3,24,27,23,10,0,5,4,141,,25.8,20.1,3.9,3.3
Ed Macauley,7,,,24,62,0.387,,,,24,62,0.387,35,41,0.854,,,32,18,,,,13,83,,,11.9,4.6,2.6
James Worthy,7,3,142,34,77,0.442,0,3,0,34,74,0.459,6,9,0.667,12,14,26,9,7,4,4,10,74,,20.3,10.6,3.7,1.3
Stephen Curry,7,7,189,48,120,0.4,31,89,0.348,17,31,0.548,3,3,1,10,30,40,44,10,0,18,6,130,,27,18.6,5.7,6.3
Chet Walker,7,1,125,20,46,0.435,,,,20,46,0.435,17,20,0.85,0,2,18,9,0,0,,11,57,,17.9,8.1,2.6,1.3
Slater Martin,7,5,180,16,53,0.302,,,,16,53,0.302,8,12,0.667,,,15,28,,,,19,40,,25.7,5.7,2.1,4
Kyle Lowry,6,2,134,23,65,0.354,13,48,0.271,10,17,0.588,4,4,1,4,22,26,40,14,1,15,9,63,,22.4,10.5,4.3,6.7
Tiny Archibald,6,4,162,27,60,0.45,0,0,,27,60,0.45,20,24,0.833,5,12,18,40,11,1,6,10,74,,27,12.3,3,6.7
Artis Gilmore,6,2,95,18,29,0.621,0,0,,18,29,0.621,15,19,0.789,5,14,19,8,4,4,5,18,51,,15.8,8.5,3.2,1.3
Grant Hill,6,6,132,28,49,0.571,1,2,0.5,27,47,0.574,6,11,0.545,5,11,16,19,7,1,10,7,63,,22.1,10.5,2.7,3.2
Tony Parker,6,0,110,24,46,0.522,1,6,0.167,23,40,0.575,4,4,1,2,9,11,28,5,0,16,1,53,,18.3,8.8,1.8,4.7
George Yardley,6,4,131,26,60,0.433,,,,26,60,0.433,12,17,0.706,,,35,4,,,,13,64,,21.8,10.7,5.8,0.7
Shawn Kemp,6,5,120,22,48,0.458,1,5,0.2,21,43,0.488,9,12,0.75,13,22,35,10,6,4,18,19,54,,20,9,5.8,1.7
Richie Guerin,6,3,122,23,56,0.411,,,,23,56,0.411,17,26,0.654,,,19,18,,,,17,63,,20.3,10.5,3.2,3
Lou Hudson,6,3,99,26,61,0.426,,,,26,61,0.426,14,15,0.933,1,2,13,6,0,1,,11,66,,16.5,11,2.2,1
Walter Davis,6,1,109,25,55,0.455,1,1,1,24,54,0.444,8,8,1,6,14,20,15,7,0,6,5,59,,18.2,9.8,3.3,2.5
Bailey Howell,6,2,81,13,33,0.394,,,,13,33,0.394,6,8,0.75,,,10,8,,,,12,32,,13.5,5.3,1.7,1.3
Anthony Davis,6,3,99,60,85,0.706,2,12,0.167,58,73,0.795,1,2,0.5,10,19,29,2,8,3,4,7,123,,16.4,20.5,4.8,0.3
Dave Cowens,6,4,154,33,66,0.5,,,,33,66,0.5,10,14,0.714,20,28,81,12,4,1,2,21,76,,25.7,12.7,13.5,2
Amar'e Stoudemire,6,3,137,48,84,0.571,2,5,0.4,46,79,0.582,15,20,0.75,19,26,45,7,4,4,8,10,113,,22.8,18.8,7.5,1.2
Pau Gasol,6,1,116,26,46,0.565,0,2,0,26,44,0.591,11,13,0.846,21,31,52,7,4,4,3,11,63,,19.3,10.5,8.7,1.2
Joe Johnson,6,1,101,16,41,0.39,9,29,0.31,7,12,0.583,0,1,0,1,4,5,8,7,0,7,4,41,,16.8,6.8,0.8,1.3
Yao Ming,6,6,102,19,38,0.5,0,4,0,19,34,0.559,4,6,0.667,6,18,24,8,1,2,3,8,42,,17,7,4,1.3
Vern Mikkelsen,6,,,27,70,0.386,,,,27,70,0.386,13,20,0.65,,,52,8,,,,20,67,,,11.2,8.7,1.3
Adrian Dantley,6,5,130,23,54,0.426,0,0,,23,54,0.426,17,19,0.895,8,15,23,7,6,0,6,13,63,,21.7,10.5,3.8,1.2
