,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game
Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
B.J. Armstrong,1,1,22,5,9,.556,1,2,.500,4,7,.571,0,0,,1,0,1,4,0,0,1,1,11,,22.0,11.0,1.0,4.0
Mike Conley,1,0,12,1,6,.167,1,5,.200,0,1,.000,0,0,,0,1,1,2,1,0,1,1,3,,12.0,3.0,1.0,2.0
Vince Boryla,1,,,4,6,.667,,,,4,6,.667,1,1,1.000,,,2,2,,,,3,9,,,9.0,2.0,2.0
Jamal Mashburn,1,0,14,4,7,.571,2,2,1.000,2,5,.400,0,0,,0,4,4,2,2,0,0,0,10,,14.0,10.0,4.0,2.0
Dana Barros,1,0,11,2,5,.400,1,3,.333,1,2,.500,0,0,,0,1,1,3,0,0,0,0,5,,11.0,5.0,1.0,3.0
Sleepy Floyd,1,0,19,4,7,.571,1,3,.333,3,4,.750,5,7,.714,2,3,5,1,1,0,2,2,14,,19.0,14.0,5.0,1.0
Michael Redd,1,0,15,5,12,.417,3,6,.500,2,6,.333,0,0,,2,1,3,2,3,0,1,0,13,,14.8,13.0,3.0,2.0
Bill Walton,1,1,31,6,14,.429,,,,6,14,.429,3,3,1.000,2,8,10,2,3,2,4,3,15,,31.0,15.0,10.0,2.0
Doc Rivers,1,0,16,2,4,.500,0,0,,2,4,.500,5,11,.455,0,3,3,6,0,0,3,3,9,,16.0,9.0,3.0,6.0
Butch Beard,1,0,7,1,4,.250,,,,1,4,.250,1,1,1.000,,,1,0,,,,0,3,,7.0,3.0,1.0,0.0
Xavier McDaniel,1,0,13,1,9,.111,0,0,,1,9,.111,0,0,,1,1,2,0,0,0,1,1,2,,13.0,2.0,2.0,0.0
Bill Cartwright,1,0,14,4,8,.500,0,0,,4,8,.500,0,0,,1,2,3,1,0,0,2,1,8,,14.0,8.0,3.0,1.0
Chris Gatling,1,0,12,1,8,.125,0,0,,1,8,.125,0,0,,0,2,2,0,1,0,0,1,2,,12.0,2.0,2.0,0.0
Kyle Korver,1,0,16,7,13,.538,7,12,.583,0,1,.000,0,0,,0,1,1,2,0,0,0,1,21,,15.6,21.0,1.0,2.0
Max Zaslofsky,1,0,25,3,7,.429,,,,3,7,.429,5,5,1.000,,,4,2,,,,0,11,,25.0,11.0,4.0,2.0
Mark Eaton,1,0,9,0,0,,0,0,,0,0,,0,0,,0,5,5,0,0,2,0,1,0,,9.0,0.0,5.0,0.0
Rik Smits,1,0,21,3,7,.429,0,0,,3,7,.429,4,4,1.000,2,5,7,4,0,2,0,3,10,,21.0,10.0,7.0,4.0
John Block,1,0,5,2,4,.500,,,,2,4,.500,0,0,,,,2,0,,,,1,4,,5.0,4.0,2.0,0.0
Mike Mitchell,1,0,15,6,12,.500,0,0,,6,12,.500,2,2,1.000,4,0,4,2,1,0,1,2,14,,15.0,14.0,4.0,2.0
Gordon Hayward,1,0,17,4,7,.571,0,3,.000,4,4,1.000,0,0,,1,0,1,2,4,0,0,0,8,,17.3,8.0,1.0,2.0
A.C. Green,1,1,12,0,3,.000,0,0,,0,3,.000,0,0,,0,3,3,1,0,1,1,1,0,,12.0,0.0,3.0,1.0
Mehmet Okur,1,0,15,2,2,1.000,0,0,,2,2,1.000,0,2,.000,0,2,2,1,0,0,0,0,4,,14.7,4.0,2.0,1.0
Dale Davis,1,0,14,2,3,.667,0,0,,2,3,.667,0,0,,3,5,8,1,0,0,0,0,4,,14.0,4.0,8.0,1.0
Ricky Pierce,1,0,19,4,8,.500,0,0,,4,8,.500,1,1,1.000,0,2,2,2,0,0,2,2,9,,19.0,9.0,2.0,2.0
Sam Lacey,1,0,17,2,6,.333,,,,2,6,.333,2,2,1.000,3,4,7,1,2,1,,2,6,,17.0,6.0,7.0,1.0
Reggie Lewis,1,0,15,3,7,.429,0,0,,3,7,.429,1,2,.500,4,0,4,2,0,1,1,3,7,,15.0,7.0,4.0,2.0
Darrall Imhoff,1,0,6,0,7,.000,,,,0,7,.000,0,0,,,,7,1,,,,1,0,,6.0,0.0,7.0,1.0
